"Date","Time","Test Total Time",,
"12/03/24","19:29:10","(hh:mm:ss): 2:42:43",,
,,,,
"Rated Capacity","Tested Capacity","PASS",,,
"15.30 Ah","8.14 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","LiMn2O4","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"3.000 Amps","Minutes",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"241203_Tall_Fescue","0.000","13.227","0.000","999.90"
"241203_Tall_Fescue","1.000","12.825","3.000","999.90"
"241203_Tall_Fescue","2.000","12.810","3.000","999.90"
"241203_Tall_Fescue","3.000","12.786","3.000","999.90"
"241203_Tall_Fescue","4.000","12.767","3.000","999.90"
"241203_Tall_Fescue","5.000","12.747","3.000","999.90"
"241203_Tall_Fescue","6.000","12.728","3.000","999.90"
"241203_Tall_Fescue","7.000","12.712","3.000","999.90"
"241203_Tall_Fescue","8.000","12.700","3.000","999.90"
"241203_Tall_Fescue","9.000","12.685","3.000","999.90"
"241203_Tall_Fescue","10.000","12.673","3.000","999.90"
"241203_Tall_Fescue","11.000","12.661","3.000","999.90"
"241203_Tall_Fescue","12.000","12.646","3.000","999.90"
"241203_Tall_Fescue","13.000","12.626","3.000","999.90"
"241203_Tall_Fescue","14.000","12.618","3.000","999.90"
"241203_Tall_Fescue","15.000","12.611","3.000","999.90"
"241203_Tall_Fescue","16.000","12.603","3.000","999.90"
"241203_Tall_Fescue","17.000","12.587","3.000","999.90"
"241203_Tall_Fescue","18.000","12.579","3.000","999.90"
"241203_Tall_Fescue","19.000","12.575","3.000","999.90"
"241203_Tall_Fescue","20.000","12.571","3.000","999.90"
"241203_Tall_Fescue","21.000","12.568","3.000","999.90"
"241203_Tall_Fescue","22.000","12.560","3.000","999.90"
"241203_Tall_Fescue","23.000","12.556","3.000","999.90"
"241203_Tall_Fescue","24.000","12.548","3.000","999.90"
"241203_Tall_Fescue","25.000","12.540","3.000","999.90"
"241203_Tall_Fescue","26.000","12.533","3.000","999.90"
