"Date","Time","Test Total Time",,
"12/10/24","18:49:25","(hh:mm:ss): 2:24:02",,
,,,,
"Rated Capacity","Tested Capacity","PASS",,,
"15.30 Ah","7.20 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","LiMn2O4","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"3.000 Amps","Minutes",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"241210_Perennial_Ryegrass","0.000","12.946","0.000","999.90"
"241210_Perennial_Ryegrass","1.000","12.661","3.000","999.90"
"241210_Perennial_Ryegrass","2.000","12.634","3.000","999.90"
"241210_Perennial_Ryegrass","3.000","12.626","3.000","999.90"
"241210_Perennial_Ryegrass","4.000","12.607","3.000","999.90"
"241210_Perennial_Ryegrass","5.000","12.591","3.000","999.90"
"241210_Perennial_Ryegrass","6.000","12.575","3.000","999.90"
"241210_Perennial_Ryegrass","7.000","12.560","3.000","999.90"
"241210_Perennial_Ryegrass","8.000","12.548","3.000","999.90"
"241210_Perennial_Ryegrass","9.000","12.536","3.000","999.90"
"241210_Perennial_Ryegrass","10.000","12.525","3.000","999.90"
"241210_Perennial_Ryegrass","11.000","12.517","3.000","999.90"
"241210_Perennial_Ryegrass","12.000","12.509","3.000","999.90"
"241210_Perennial_Ryegrass","13.000","12.501","3.000","999.90"
"241210_Perennial_Ryegrass","14.000","12.497","3.000","999.90"
"241210_Perennial_Ryegrass","15.000","12.493","3.000","999.90"
"241210_Perennial_Ryegrass","16.000","12.486","3.000","999.90"
"241210_Perennial_Ryegrass","17.000","12.482","3.000","999.90"
"241210_Perennial_Ryegrass","18.000","12.478","3.000","999.90"
"241210_Perennial_Ryegrass","19.000","12.478","3.000","999.90"
"241210_Perennial_Ryegrass","20.000","12.474","3.000","999.90"
