"Date","Time","Test Total Time",,
"01/13/25","15:15:43","(hh:mm:ss): 1:50:27",,
,,,,
"Rated Capacity","Tested Capacity","PASS",,,
"15.30 Ah","5.52 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","LiMn2O4","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"3.000 Amps","Minutes",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"250113_Drop","0.000","13.282","0.000","999.90"
"250113_Drop","1.000","12.892","3.000","999.90"
"250113_Drop","2.000","12.876","3.000","999.90"
"250113_Drop","3.000","12.860","3.000","999.90"
"250113_Drop","4.000","12.845","3.000","999.90"
"250113_Drop","5.000","12.817","3.000","999.90"
"250113_Drop","6.000","12.806","3.000","999.90"
"250113_Drop","7.000","12.786","3.000","999.90"
"250113_Drop","8.000","12.782","3.000","999.90"
"250113_Drop","9.000","12.771","3.000","999.90"
"250113_Drop","10.000","12.755","3.000","999.90"
"250113_Drop","11.000","12.728","3.000","999.90"
"250113_Drop","12.000","12.716","3.000","999.90"
"250113_Drop","13.000","12.693","3.000","999.90"
"250113_Drop","14.000","12.696","3.000","999.90"
"250113_Drop","15.000","12.685","3.000","999.90"
"250113_Drop","16.000","12.712","3.000","999.90"
"250113_Drop","17.000","12.712","3.000","999.90"
"250113_Drop","18.000","12.712","3.000","999.90"
"250113_Drop","19.000","12.696","3.000","999.90"
"250113_Drop","20.000","12.689","3.000","999.90"
"250113_Drop","21.000","12.685","3.000","999.90"
"250113_Drop","22.000","12.677","3.000","999.90"
"250113_Drop","23.000","12.669","3.000","999.90"
"250113_Drop","24.000","12.665","3.000","999.90"
"250113_Drop","25.000","12.665","3.000","999.90"
"250113_Drop","26.000","12.657","3.000","999.90"
"250113_Drop","27.000","12.653","3.000","999.90"
"250113_Drop","28.000","12.650","3.000","999.90"
"250113_Drop","29.000","12.642","3.000","999.90"
"250113_Drop","30.000","12.642","3.000","999.90"
"250113_Drop","31.000","12.634","3.000","999.90"
"250113_Drop","32.000","12.634","3.000","999.90"
"250113_Drop","33.000","12.630","3.000","999.90"
"250113_Drop","34.000","12.626","3.000","999.90"
"250113_Drop","35.000","12.622","3.000","999.90"
"250113_Drop","36.000","12.618","3.000","999.90"
"250113_Drop","37.000","12.618","3.000","999.90"
"250113_Drop","38.000","12.614","3.000","999.90"
"250113_Drop","39.000","12.614","3.000","999.90"
"250113_Drop","40.000","12.611","3.000","999.90"
"250113_Drop","41.000","12.607","3.000","999.90"
"250113_Drop","42.000","12.603","3.000","999.90"
"250113_Drop","43.000","12.603","3.000","999.90"
"250113_Drop","44.000","12.595","3.000","999.90"
"250113_Drop","45.000","12.591","3.000","999.90"
"250113_Drop","46.000","12.579","3.000","999.90"
"250113_Drop","47.000","12.556","3.000","999.90"
"250113_Drop","48.000","12.564","3.000","999.90"
"250113_Drop","49.000","12.571","3.000","999.90"
"250113_Drop","50.000","12.568","3.000","999.90"
"250113_Drop","51.000","12.571","3.000","999.90"
"250113_Drop","52.000","12.564","3.000","999.90"
"250113_Drop","53.000","12.552","3.000","999.90"
"250113_Drop","54.000","12.556","3.000","999.90"
"250113_Drop","55.000","12.556","3.000","999.90"
"250113_Drop","56.000","12.556","3.000","999.90"
"250113_Drop","57.000","12.548","3.000","999.90"
"250113_Drop","58.000","12.568","3.000","999.90"
"250113_Drop","59.000","12.568","3.000","999.90"
"250113_Drop","60.000","12.564","3.000","999.90"
"250113_Drop","61.000","12.560","3.000","999.90"
"250113_Drop","62.000","12.560","3.000","999.90"
"250113_Drop","63.000","12.556","3.000","999.90"
"250113_Drop","64.000","12.568","3.000","999.90"
"250113_Drop","65.000","12.556","3.000","999.90"
"250113_Drop","66.000","12.556","3.000","999.90"
"250113_Drop","67.000","12.552","3.000","999.90"
"250113_Drop","68.000","12.548","3.000","999.90"
"250113_Drop","69.000","12.544","3.000","999.90"
"250113_Drop","70.000","12.552","3.000","999.90"
"250113_Drop","71.000","12.556","3.000","999.90"
"250113_Drop","72.000","12.552","3.000","999.90"
"250113_Drop","73.000","12.556","3.000","999.90"
"250113_Drop","74.000","12.548","3.000","999.90"
"250113_Drop","75.000","12.540","3.000","999.90"
"250113_Drop","76.000","12.548","3.000","999.90"
"250113_Drop","77.000","12.568","3.000","999.90"
"250113_Drop","78.000","12.571","3.000","999.90"
"250113_Drop","79.000","12.571","3.000","999.90"
"250113_Drop","80.000","12.568","3.000","999.90"
"250113_Drop","81.000","12.560","3.000","999.90"
"250113_Drop","82.000","12.556","3.000","999.90"
"250113_Drop","83.000","12.548","3.000","999.90"
"250113_Drop","84.000","12.548","3.000","999.90"
"250113_Drop","85.000","12.552","3.000","999.90"
"250113_Drop","86.000","12.548","3.000","999.90"
"250113_Drop","87.000","12.556","3.000","999.90"
"250113_Drop","88.000","12.556","3.000","999.90"
"250113_Drop","89.000","12.548","3.000","999.90"
"250113_Drop","90.000","12.544","3.000","999.90"
"250113_Drop","91.000","12.548","3.000","999.90"
"250113_Drop","92.000","12.552","3.000","999.90"
"250113_Drop","93.000","12.552","3.000","999.90"
"250113_Drop","94.000","12.548","3.000","999.90"
"250113_Drop","95.000","12.552","3.000","999.90"
"250113_Drop","96.000","12.552","3.000","999.90"
"250113_Drop","97.000","12.544","3.000","999.90"
"250113_Drop","98.000","12.544","3.000","999.90"
"250113_Drop","99.000","12.544","3.000","999.90"
"250113_Drop","100.000","12.540","3.000","999.90"
"250113_Drop","101.000","12.540","3.000","999.90"
"250113_Drop","102.000","12.540","3.000","999.90"
"250113_Drop","103.000","12.540","3.000","999.90"
"250113_Drop","104.000","12.548","3.000","999.90"
"250113_Drop","105.000","12.544","3.000","999.90"
"250113_Drop","106.000","12.544","3.000","999.90"
"250113_Drop","107.000","12.505","3.000","999.90"
"250113_Drop","108.000","12.521","3.000","999.90"
"250113_Drop","109.000","12.525","3.000","999.90"
"250113_Drop","110.000","12.521","3.000","999.90"
"250113_Drop","111.000","12.540","3.000","999.90"
"250113_Drop","112.000","12.540","3.000","999.90"
"250113_Drop","113.000","12.540","3.000","999.90"
"250113_Drop","114.000","12.548","3.000","999.90"
"250113_Drop","115.000","12.548","3.000","999.90"
"250113_Drop","116.000","12.544","3.000","999.90"
"250113_Drop","117.000","12.548","3.000","999.90"
"250113_Drop","118.000","12.540","3.000","999.90"
"250113_Drop","119.000","12.540","3.000","999.90"
"250113_Drop","120.000","12.544","3.000","999.90"
"250113_Drop","121.000","12.548","3.000","999.90"
"250113_Drop","122.000","12.540","3.000","999.90"
