"Date","Time","Test Total Time",,
"03/03/25","19:27:55","(hh:mm:ss): 2:14:45",,
,,,,
"Rated Capacity","Tested Capacity","PASS",,,
"18.00 Ah","6.74 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","AGM","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"3.000 Amps","Minutes",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"250303_Snap","0.000","13.220","0.000","999.90"
"250303_Snap","1.000","12.853","3.000","999.90"
"250303_Snap","2.000","12.825","3.000","999.90"
"250303_Snap","3.000","12.814","3.000","999.90"
"250303_Snap","4.000","12.794","3.000","999.90"
"250303_Snap","5.000","12.778","3.000","999.90"
"250303_Snap","6.000","12.767","3.000","999.90"
"250303_Snap","7.000","12.751","3.000","999.90"
"250303_Snap","8.000","12.743","3.000","999.90"
"250303_Snap","9.000","12.728","3.000","999.90"
"250303_Snap","10.000","12.716","3.000","999.90"
"250303_Snap","11.000","12.708","3.000","999.90"
"250303_Snap","12.000","12.693","3.000","999.90"
"250303_Snap","13.000","12.685","3.000","999.90"
"250303_Snap","14.000","12.677","3.000","999.90"
"250303_Snap","15.000","12.665","3.000","999.90"
"250303_Snap","16.000","12.657","3.000","999.90"
"250303_Snap","17.000","12.650","3.000","999.90"
"250303_Snap","18.000","12.642","3.000","999.90"
"250303_Snap","19.000","12.634","3.000","999.90"
"250303_Snap","20.000","12.634","3.000","999.90"
"250303_Snap","21.000","12.626","3.000","999.90"
"250303_Snap","22.000","12.618","3.000","999.90"
"250303_Snap","23.000","12.611","3.000","999.90"
"250303_Snap","24.000","12.611","3.000","999.90"
"250303_Snap","25.000","12.603","3.000","999.90"
"250303_Snap","26.000","12.599","3.000","999.90"
"250303_Snap","27.000","12.595","3.000","999.90"
"250303_Snap","28.000","12.587","3.000","999.90"
"250303_Snap","29.000","12.587","3.000","999.90"
"250303_Snap","30.000","12.583","3.000","999.90"
"250303_Snap","31.000","12.579","3.000","999.90"
"250303_Snap","32.000","12.579","3.000","999.90"
"250303_Snap","33.000","12.579","3.000","999.90"
"250303_Snap","34.000","12.571","3.000","999.90"
"250303_Snap","35.000","12.571","3.000","999.90"
"250303_Snap","36.000","12.571","3.000","999.90"
"250303_Snap","37.000","12.568","3.000","999.90"
"250303_Snap","38.000","12.564","3.000","999.90"
"250303_Snap","39.000","12.564","3.000","999.90"
"250303_Snap","40.000","12.564","3.000","999.90"
"250303_Snap","41.000","12.560","3.000","999.90"
"250303_Snap","42.000","12.556","3.000","999.90"
"250303_Snap","43.000","12.556","3.000","999.90"
"250303_Snap","44.000","12.556","3.000","999.90"
"250303_Snap","45.000","12.556","3.000","999.90"
"250303_Snap","46.000","12.556","3.000","999.90"
"250303_Snap","47.000","12.556","3.000","999.90"
"250303_Snap","48.000","12.552","3.000","999.90"
"250303_Snap","49.000","12.548","3.000","999.90"
"250303_Snap","50.000","12.548","3.000","999.90"
"250303_Snap","51.000","12.548","3.000","999.90"
"250303_Snap","52.000","12.548","3.000","999.90"
"250303_Snap","53.000","12.548","3.000","999.90"
"250303_Snap","54.000","12.548","3.000","999.90"
"250303_Snap","55.000","12.548","3.000","999.90"
"250303_Snap","56.000","12.548","3.000","999.90"
"250303_Snap","57.000","12.548","3.000","999.90"
"250303_Snap","58.000","12.548","3.000","999.90"
"250303_Snap","59.000","12.544","3.000","999.90"
"250303_Snap","60.000","12.544","3.000","999.90"
"250303_Snap","61.000","12.544","3.000","999.90"
"250303_Snap","62.000","12.544","3.000","999.90"
"250303_Snap","63.000","12.544","3.000","999.90"
"250303_Snap","64.000","12.544","3.000","999.90"
"250303_Snap","65.000","12.544","3.000","999.90"
"250303_Snap","66.000","12.544","3.000","999.90"
"250303_Snap","67.000","12.544","3.000","999.90"
"250303_Snap","68.000","12.544","3.000","999.90"
"250303_Snap","69.000","12.540","3.000","999.90"
"250303_Snap","70.000","12.544","3.000","999.90"
"250303_Snap","71.000","12.544","3.000","999.90"
"250303_Snap","72.000","12.540","3.000","999.90"
"250303_Snap","73.000","12.540","3.000","999.90"
"250303_Snap","74.000","12.540","3.000","999.90"
"250303_Snap","75.000","12.540","3.000","999.90"
"250303_Snap","76.000","12.540","3.000","999.90"
"250303_Snap","77.000","12.540","3.000","999.90"
"250303_Snap","78.000","12.540","3.000","999.90"
"250303_Snap","79.000","12.544","3.000","999.90"
"250303_Snap","80.000","12.544","3.000","999.90"
"250303_Snap","81.000","12.544","3.000","999.90"
"250303_Snap","82.000","12.544","3.000","999.90"
"250303_Snap","83.000","12.548","3.000","999.90"
"250303_Snap","84.000","12.548","3.000","999.90"
"250303_Snap","85.000","12.548","3.000","999.90"
"250303_Snap","86.000","12.548","3.000","999.90"
"250303_Snap","87.000","12.548","3.000","999.90"
"250303_Snap","88.000","12.548","3.000","999.90"
"250303_Snap","89.000","12.548","3.000","999.90"
"250303_Snap","90.000","12.548","3.000","999.90"
"250303_Snap","91.000","12.548","3.000","999.90"
"250303_Snap","92.000","12.548","3.000","999.90"
"250303_Snap","93.000","12.548","3.000","999.90"
"250303_Snap","94.000","12.548","3.000","999.90"
"250303_Snap","95.000","12.548","3.000","999.90"
"250303_Snap","96.000","12.548","3.000","999.90"
"250303_Snap","97.000","12.548","3.000","999.90"
"250303_Snap","98.000","12.548","3.000","999.90"
"250303_Snap","99.000","12.548","3.000","999.90"
"250303_Snap","100.000","12.548","3.000","999.90"
"250303_Snap","101.000","12.548","3.000","999.90"
"250303_Snap","102.000","12.548","3.000","999.90"
"250303_Snap","103.000","12.548","3.000","999.90"
"250303_Snap","104.000","12.548","3.000","999.90"
"250303_Snap","105.000","12.548","3.000","999.90"
"250303_Snap","106.000","12.548","3.000","999.90"
"250303_Snap","107.000","12.548","3.000","999.90"
"250303_Snap","108.000","12.548","3.000","999.90"
"250303_Snap","109.000","12.548","3.000","999.90"
"250303_Snap","110.000","12.548","3.000","999.90"
"250303_Snap","111.000","12.548","3.000","999.90"
"250303_Snap","112.000","12.548","3.000","999.90"
"250303_Snap","113.000","12.548","3.000","999.90"
"250303_Snap","114.000","12.548","3.000","999.90"
"250303_Snap","115.000","12.548","3.000","999.90"
"250303_Snap","116.000","12.548","3.000","999.90"
"250303_Snap","117.000","12.548","3.000","999.90"
"250303_Snap","118.000","12.548","3.000","999.90"
"250303_Snap","119.000","12.548","3.000","999.90"
"250303_Snap","120.000","12.548","3.000","999.90"
"250303_Snap","121.000","12.548","3.000","999.90"
"250303_Snap","122.000","12.548","3.000","999.90"
"250303_Snap","123.000","12.552","3.000","999.90"
"250303_Snap","124.000","12.552","3.000","999.90"
"250303_Snap","125.000","12.552","3.000","999.90"
"250303_Snap","126.000","12.552","3.000","999.90"
"250303_Snap","127.000","12.548","3.000","999.90"
"250303_Snap","128.000","12.548","3.000","999.90"
"250303_Snap","129.000","12.552","3.000","999.90"
"250303_Snap","130.000","12.552","3.000","999.90"
"250303_Snap","131.000","12.552","3.000","999.90"
"250303_Snap","132.000","12.552","3.000","999.90"
"250303_Snap","133.000","12.552","3.000","999.90"
"250303_Snap","134.000","12.556","3.000","999.90"
"250303_Snap","135.000","12.556","3.000","999.90"
"250303_Snap","136.000","12.552","3.000","999.90"
"250303_Snap","137.000","12.556","3.000","999.90"
"250303_Snap","138.000","12.556","3.000","999.90"
"250303_Snap","139.000","12.556","3.000","999.90"
"250303_Snap","140.000","12.556","3.000","999.90"
"250303_Snap","141.000","12.556","3.000","999.90"
"250303_Snap","142.000","12.556","3.000","999.90"
"250303_Snap","143.000","12.556","3.000","999.90"
"250303_Snap","144.000","12.556","3.000","999.90"
"250303_Snap","145.000","12.556","3.000","999.90"
"250303_Snap","146.000","12.556","3.000","999.90"
"250303_Snap","147.000","12.556","3.000","999.90"
"250303_Snap","148.000","12.556","3.000","999.90"
"250303_Snap","149.000","12.556","3.000","999.90"
"250303_Snap","150.000","12.556","3.000","999.90"
"250303_Snap","151.000","12.556","3.000","999.90"
"250303_Snap","152.000","12.556","3.000","999.90"
"250303_Snap","153.000","12.556","3.000","999.90"
"250303_Snap","154.000","12.556","3.000","999.90"
"250303_Snap","155.000","12.556","3.000","999.90"
"250303_Snap","156.000","12.556","3.000","999.90"
"250303_Snap","157.000","12.556","3.000","999.90"
"250303_Snap","158.000","12.556","3.000","999.90"
"250303_Snap","159.000","12.556","3.000","999.90"
"250303_Snap","160.000","12.556","3.000","999.90"
"250303_Snap","161.000","12.556","3.000","999.90"
"250303_Snap","162.000","12.556","3.000","999.90"
"250303_Snap","163.000","12.556","3.000","999.90"
"250303_Snap","164.000","12.556","3.000","999.90"
"250303_Snap","165.000","12.556","3.000","999.90"
"250303_Snap","166.000","12.556","3.000","999.90"
"250303_Snap","167.000","12.556","3.000","999.90"
"250303_Snap","168.000","12.556","3.000","999.90"
"250303_Snap","169.000","12.556","3.000","999.90"
"250303_Snap","170.000","12.556","3.000","999.90"
"250303_Snap","171.000","12.556","3.000","999.90"
"250303_Snap","172.000","12.556","3.000","999.90"
"250303_Snap","173.000","12.556","3.000","999.90"
"250303_Snap","174.000","12.556","3.000","999.90"
"250303_Snap","175.000","12.556","3.000","999.90"
"250303_Snap","176.000","12.556","3.000","999.90"
"250303_Snap","177.000","12.556","3.000","999.90"
"250303_Snap","178.000","12.556","3.000","999.90"
"250303_Snap","179.000","12.556","3.000","999.90"
"250303_Snap","180.000","12.556","3.000","999.90"
"250303_Snap","181.000","12.556","3.000","999.90"
"250303_Snap","182.000","12.556","3.000","999.90"
"250303_Snap","183.000","12.556","3.000","999.90"
"250303_Snap","184.000","12.556","3.000","999.90"
"250303_Snap","185.000","12.556","3.000","999.90"
"250303_Snap","186.000","12.556","3.000","999.90"
"250303_Snap","187.000","12.556","3.000","999.90"
"250303_Snap","188.000","12.560","3.000","999.90"
"250303_Snap","189.000","12.560","3.000","999.90"
"250303_Snap","190.000","12.560","3.000","999.90"
"250303_Snap","191.000","12.560","3.000","999.90"
"250303_Snap","192.000","12.560","3.000","999.90"
"250303_Snap","193.000","12.564","3.000","999.90"
"250303_Snap","194.000","12.560","3.000","999.90"
"250303_Snap","195.000","12.564","3.000","999.90"
"250303_Snap","196.000","12.564","3.000","999.90"
"250303_Snap","197.000","12.564","3.000","999.90"
"250303_Snap","198.000","12.564","3.000","999.90"
"250303_Snap","199.000","12.564","3.000","999.90"
"250303_Snap","200.000","12.564","3.000","999.90"
"250303_Snap","201.000","12.564","3.000","999.90"
"250303_Snap","202.000","12.564","3.000","999.90"
"250303_Snap","203.000","12.564","3.000","999.90"
"250303_Snap","204.000","12.564","3.000","999.90"
"250303_Snap","205.000","12.564","3.000","999.90"
"250303_Snap","206.000","12.564","3.000","999.90"
"250303_Snap","207.000","12.564","3.000","999.90"
"250303_Snap","208.000","12.564","3.000","999.90"
"250303_Snap","209.000","12.564","3.000","999.90"
"250303_Snap","210.000","12.564","3.000","999.90"
"250303_Snap","211.000","12.564","3.000","999.90"
"250303_Snap","212.000","12.564","3.000","999.90"
"250303_Snap","213.000","12.564","3.000","999.90"
"250303_Snap","214.000","12.564","3.000","999.90"
"250303_Snap","215.000","12.564","3.000","999.90"
"250303_Snap","216.000","12.564","3.000","999.90"
"250303_Snap","217.000","12.564","3.000","999.90"
"250303_Snap","218.000","12.564","3.000","999.90"
"250303_Snap","219.000","12.564","3.000","999.90"
"250303_Snap","220.000","12.564","3.000","999.90"
